CreateDynamicObject(11111, 836.7105, -2097.7875, 8.6295, 6.2999, 0.0000, 0.0000);
CreateDynamicObject(19437, 829.9458, -2067.1337, 13.6206, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19437, 829.9458, -2044.9403, 17.1207, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(980, 836.5172, -2044.9311, 14.6310, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19456, 848.5709, -2044.9317, 13.5970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(980, 836.5139, -2067.1450, 14.6310, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19437, 829.9458, -2067.1337, 17.1007, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19377, 826.3009, -2142.0307, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19425, 828.3732, -2127.6430, 5.3168, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19377, 836.7998, -2132.4138, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 836.8009, -2142.0407, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 847.3004, -2142.0207, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 847.3004, -2132.4042, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(640, 821.5689, -2130.6093, 5.9636, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(970, 821.0764, -2130.6599, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(640, 821.5689, -2135.9797, 5.9636, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(640, 821.5689, -2141.3525, 5.9636, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(640, 824.6392, -2144.3730, 5.9636, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(640, 830.0097, -2144.3730, 5.9636, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(640, 824.5891, -2128.2685, 5.9636, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(970, 821.0764, -2135.8649, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 821.0764, -2141.3579, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 824.6571, -2144.8781, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(970, 829.9483, -2144.8781, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19121, 821.5588, -2144.4025, 5.8133, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19087, 824.2772, -2132.0092, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 826.7371, -2132.0092, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 826.7371, -2135.1713, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 824.2783, -2135.1713, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 824.2783, -2138.4636, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 826.7399, -2138.4636, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(996, 841.3955, -2062.3352, 12.5975, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(3262, 830.1610, -2044.8817, 11.6711, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(10829, 846.0745, -2052.1572, 11.8387, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(996, 841.3955, -2052.6437, 12.5975, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(996, 831.4157, -2053.3222, 12.5975, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(996, 831.4157, -2066.4104, 12.5975, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 824.3300, -2044.9317, 17.0970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 824.3300, -2044.9317, 13.5970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(8615, 826.5609, -2045.9392, 14.3760, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19437, 829.9458, -2044.9403, 13.6206, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 848.5709, -2044.9317, 17.0970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19437, 842.9559, -2044.9403, 13.6206, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19437, 842.9559, -2044.9403, 17.1007, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 824.3300, -2067.1342, 13.5970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 824.3300, -2067.1342, 17.0970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 848.5614, -2067.1342, 13.5970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19456, 848.5614, -2067.1342, 17.0970, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19437, 842.9464, -2067.1337, 13.6206, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19437, 842.9464, -2067.1337, 17.1007, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(3262, 842.6812, -2044.8817, 11.6711, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(19087, 824.2783, -2141.2751, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(2774, 827.5755, -2087.7373, -3.3545, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 845.7465, -2087.7373, -3.3545, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 845.7465, -2110.1259, -5.8446, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 827.5249, -2110.1259, -5.8446, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 821.7946, -2128.3566, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 821.7946, -2146.9157, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 851.7852, -2146.8757, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 851.7852, -2128.3693, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(970, 824.6571, -2127.7553, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(640, 852.0629, -2130.5793, 5.9636, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(19087, 826.7387, -2141.2751, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(973, 846.5045, -2122.9672, 6.7357, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5045, -2113.6445, 7.7649, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5045, -2104.3220, 8.7943, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5045, -2094.9992, 9.8235, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5045, -2085.6762, 10.8528, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5444, -2078.7575, 11.6166, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 846.5244, -2071.8503, 12.3793, 0.0000, -6.2999, 90.0000);
CreateDynamicObject(973, 826.8842, -2071.8503, 12.3793, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(973, 826.8743, -2078.7792, 11.6143, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(973, 826.8942, -2085.7065, 10.8495, 0.0000, 6.2999, 270.0000);
